uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
CE,05.596.937/0001-95,01.609-7,"2º tabelionato de notas, protestos e anexos",Jaguaretama,63480000,"",1941-03-05,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de jaguaretama,jaguaretama
CE,12.465.217/0001-56,02.062-8,tabelionato de notas e ofício de registros públicos,Jaguaribara,63490000,"",1917-08-20,casamentos;interdições e tutelas;nascimentos;notas;óbitos;outras;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de jaguaribara,jaguaribara
CE,09.386.804/0001-45,13.700-0,ofício de registro civil das pessoas naturais - poço comprido,Jaguaribara,63490000,"",1936-08-03,casamentos;nascimentos;óbitos,distrito de poço comprido,jaguaribara
CE,05.596.911/0001-47,01.729-3,"1º tabelionato de notas, protestos, ofício do registro civil e anexos",Jaguaribe,63475000,"",1889-01-08,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de jaguaribe,jaguaribe
CE,05.596.929/0001-49,01.759-0,"2º tabelionato de notas, protestos  e  anexos",Jaguaribe,63475000,"",1926-05-30,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,"",jaguaribe
CE,12.465.159/0001-60,13.053-4,ofício de registro civil das pessoas naturais - feiticeiro,Jaguaribe,63475000,"",1934-08-18,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de feiticeiro,jaguaribe
CE,09.537.676/0001-93,01.697-2,ofício de registro civil das pessoas naturais - mapuá,Jaguaribe,63475000,"",1909-06-06,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de mapuá,jaguaribe
CE,10.298.540/0001-57,01.897-8,ofício de registro civil das pessoas naturais - nova floresta,Jaguaribe,63478000,"",2003-04-24,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de nova floresta,jaguaribe
CE,06.578.934/0001-91,01.758-2,1º ofício do registro civil e tabelionato de notas e protesto,Jaguaruana,62823000,"",1995-05-24,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro de títulos e documentos,município de jaguaruana,jaguaruana
CE,06.578.942/0001-38,01.948-9,"2º tabelionato de notas, protestos e anexos",Jaguaruana,62823000,"",1935-01-04,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de jaguaruana,jaguaruana
CE,09.444.530/0001-01,01.883-8,ofício de registro civil das pessoas naturais do distrito de borges,Jaguaruana,62835000,"",1949-01-18,casamentos;nascimentos;óbitos,distrito de borges,jaguaruana
CE,09.444.530/0001-01,01.701-2,ofício de registro civil das pessoas naturais - giqui,Jaguaruana,62823000,"",1942-11-27,casamentos;nascimentos;óbitos,distrito de giqui,jaguaruana
CE,"",01.758-2,1º ofício de registro civil e tabelionato de notas,Jardim,63290000,"",1890-09-04,casamentos;interdições e tutelas;nascimentos;notas;óbitos,município de jardim,jardim
CE,07.777.504/0001-61,01.948-9,2º ofício de registro de imóveis e tabelionato de notas e protesto,Jardim,63290000,"",1916-08-31,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de jardim,jardim
CE,06.142.485/0001-34,01.819-2,ofício de registro civil das pessoas naturais - jardim mirim,Jardim,63290000,"",1955-08-05,casamentos;nascimentos;óbitos,distrito de jardim-mirim,jardim
CE,05.455.357/0001-88,02.015-6,1º ofício de registro civil e registros públicos,Jati,63275000,"",1918-03-26,casamentos;interdições e tutelas;nascimentos;notas;óbitos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de jati,jati
CE,05.455.282/0001-35,02.016-4,"2º tabelionato de notas, protesto e registros públicos",Jati,63275000,"",1974-04-25,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,"",jati
CE,69.727.527/0001-19,13.791-9,ofício de registro civil das pessoa naturais - jericoacoara,Jijoca de Jericoacoara,62598000,"",1977-03-11,casamentos;nascimentos;óbitos,distrito de jericoacoara,jijoca de jericoacoara
CE,14.873.336/0001-73,01.988-5,1º ofício de registro civil das pessoas  naturais e anexos,Juazeiro do Norte,63010125,"",1913-05-02,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de juazeiro do norte,juazeiro do norte
CE,06.749.311/0001-34,01.956-2,2º tabelionato de notas e protestos e ofício de registro de imóveis,Juazeiro do Norte,63010210,"",1921-12-19,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de juazeiro do norte,juazeiro do norte
CE,12.473.906/0001-02,01.782-2,3º tabelionato de notas e protestos e ofício de registro de títulos e documentos,Juazeiro do Norte,63010010,"",1973-10-23,notas;protesto de títulos;registro de títulos e documentos,município de juazeiro do norte,juazeiro do norte
CE,04.881.842/0001-50,01.860-6,ofício de registro civil das pessoas naturais - marrocos,Juazeiro do Norte,63084000,"",1977-03-23,casamentos;interdições e tutelas;nascimentos;óbitos;outras,distrito de marrocos,juazeiro do norte
CE,12.465.803/0001-09,01.721-0,ofício de registro civil das pessoas naturais - padre cícero,Juazeiro do Norte,63082000,"",1974-04-22,casamentos;nascimentos;óbitos,distrito de padre cícero,juazeiro do norte
CE,41.347.287/0001-08,02.088-3,4º tabelionato de notas e protestos de títulos,Juazeiro do Norte,63010070,"",1994-10-19,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,juazeiro do norte,juazeiro do norte
CE,02.663.815/0001-86,01.612-1,5º tabelionato de notas e protestos e ofício de registros de imóveis,Juazeiro do Norte,63010010,"",1998-08-04,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de juazeiro do norte,juazeiro do norte
CE,05.717.038/0001-01,01.731-9,"1º tabelionato de notas, ofício de registro civil e anexos",Jucás,63580000,"",1973-11-28,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de jucás,jucás
CE,05.717.046/0001-40,01.933-1,2º tabelionato de notas e ofício de registro de imóveis,Jucás,63580000,"",1973-11-28,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,"",jucás
